CustomerID,Count,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Label,Churn Value,Churn Score,CLTV,Churn Reason,MonthlyProfit,CostToServe,MarketingSpend,Discount,Region,SignupMonth
3833-NDJUP,1,United States,California,Bakersfield,93301,"35.2942, -119.028",35.2942,-119.028,Female,0,No,No,50,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,51.99,2573.99,No,0,24,4620,,20.25,23.48,108.52,0.072,Central California,2016-12-01
9892-UJTWQ,1,United States,California,Riverside,92501,"34.0158, -117.3461",34.0158,-117.3461,Male,0,No,No,18,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Electronic check,83.25,1508.24,No,0,26,4548,,15.35,37.02,431.34,0.155,South California,2019-08-01
7862-NXGLG,1,United States,California,San Diego,92101,"32.8127, -117.1861",32.8127,-117.1861,Female,1,Yes,Yes,10,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),75.64,773.87,Yes,1,72,3035,Network reliability,22.74,41.28,273.38,0.003,South California,2020-04-01
1911-QDFTG,1,United States,California,San Diego,92101,"32.7518, -117.1773",32.7518,-117.1773,Male,1,Yes,Yes,9,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.25,182.07,Yes,1,57,2512,Don't know,3.51,10.24,105.91,0.005,South California,2020-05-01
8769-BLBBU,1,United States,California,Los Angeles,90001,"34.1253, -118.2524",34.1253,-118.2524,Male,0,No,Yes,29,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),63.9,1856.73,No,0,25,5074,,13.49,26.76,423.42,0.094,South California,2018-09-01
1600-XPMXK,1,United States,California,San Diego,92101,"32.6734, -117.0555",32.6734,-117.0555,Male,0,No,No,40,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,No,Mailed check,73.76,2955.7,No,0,5,5180,,5.57,36.59,524.8,0.132,South California,2017-10-01
4595-KQWOH,1,United States,California,Bakersfield,93301,"35.3851, -119.1104",35.3851,-119.1104,Male,0,Yes,No,11,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,70.96,754.8,No,0,68,3402,,24.52,30.71,207.24,0.1,Central California,2020-03-01
9006-PVLFY,1,United States,California,Sacramento,95814,"38.5344, -121.4693",38.5344,-121.4693,Female,0,No,No,36,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.61,653.36,Yes,1,45,3235,Long wait times,-5.93,11.08,279.74,0.097,North California,2018-02-01
7097-IWAYP,1,United States,California,Long Beach,90802,"33.7587, -118.2064",33.7587,-118.2064,Male,0,No,No,45,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Bank transfer (automatic),66.0,3018.09,No,0,22,4670,,18.26,26.8,265.08,0.15,South California,2017-05-01
6308-AESOD,1,United States,California,Fresno,93701,"36.7764, -119.8191",36.7764,-119.8191,Female,1,No,No,68,Yes,No,DSL,No,No,No,Yes,Yes,No,Two year,No,Electronic check,55.3,3782.5,No,0,5,5555,,2.44,27.15,375.42,0.182,Central California,2015-06-01
6991-THRZM,1,United States,California,Bakersfield,93301,"35.3784, -119.0326",35.3784,-119.0326,Female,1,No,No,59,Yes,No,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,61.7,3648.52,No,0,8,5497,,8.79,31.6,333.66,0.12,Central California,2016-03-01
3063-ZXLLV,1,United States,California,San Jose,95112,"37.2676, -121.8529",37.2676,-121.8529,Female,0,Yes,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),18.25,125.43,Yes,1,23,2000,Attitude of support person,-2.08,11.3,163.79,0.121,Central California,2020-08-01
1004-IORQJ,1,United States,California,Oakland,94601,"37.7386, -122.235",37.7386,-122.235,Female,0,No,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,22.84,179.25,No,0,5,3153,,-1.71,11.73,153.7,0.281,North California,2020-06-01
8823-QOYCS,1,United States,California,Anaheim,92805,"33.7675, -117.905",33.7675,-117.905,Male,0,No,No,4,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),69.82,313.88,Yes,1,46,2807,Moved,10.03,27.71,473.29,0.177,South California,2020-10-01
9340-ROJHO,1,United States,California,San Diego,92101,"32.7403, -117.1065",32.7403,-117.1065,Male,1,Yes,No,59,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,58.76,3444.05,No,0,24,5313,,23.27,22.23,202.64,0.082,South California,2016-03-01
9088-MDMCY,1,United States,California,Modesto,95354,"37.7423, -120.9335",37.7423,-120.9335,Male,0,Yes,Yes,62,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,No,Bank transfer (automatic),77.33,4802.57,No,0,13,5424,,30.51,32.78,168.17,0.091,Central California,2015-12-01
5814-FQNNP,1,United States,California,Fresno,93701,"36.8059, -119.7463",36.8059,-119.7463,Female,1,No,Yes,13,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Two year,Yes,Electronic check,61.28,777.25,No,0,15,3650,,7.77,31.61,209.42,0.215,Central California,2020-01-01
9359-WGGZQ,1,United States,California,Long Beach,90802,"33.6753, -118.221",33.6753,-118.221,Male,0,No,No,58,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.96,1207.02,Yes,1,13,3994,Don't know,-7.39,13.03,326.42,0.082,South California,2016-04-01
1174-NDAEG,1,United States,California,Stockton,95202,"38.0288, -121.2661",38.0288,-121.2661,Female,0,Yes,No,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.25,1145.48,Yes,1,5,3856,Price too high,-6.65,11.51,303.85,0.04,Central California,2015-10-01
1716-VLOWV,1,United States,California,Fresno,93701,"36.7846, -119.7621",36.7846,-119.7621,Female,0,Yes,Yes,7,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,77.67,590.8,Yes,1,77,2990,Competitor offered higher download speeds,24.37,41.03,279.6,0.008,Central California,2020-07-01
8386-FTZAW,1,United States,California,Fresno,93701,"36.6605, -119.8279",36.6605,-119.8279,Male,0,No,No,9,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,83.17,789.58,Yes,1,54,3206,Don't know,30.34,31.85,389.83,0.057,Central California,2020-05-01
8790-VKFTQ,1,United States,California,Berkeley,94704,"37.8563, -122.3515",37.8563,-122.3515,Male,1,No,No,12,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,63.14,781.51,Yes,1,56,3480,Attitude of support person,13.83,33.41,272.53,0.072,North California,2020-02-01
7541-GEXNW,1,United States,California,Sacramento,95814,"38.6364, -121.5955",38.6364,-121.5955,Female,0,No,No,66,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),98.05,6519.5,No,0,5,6519,,23.04,44.22,423.53,0.134,North California,2015-08-01
9334-LGXSR,1,United States,California,Stockton,95202,"37.9852, -121.2873",37.9852,-121.2873,Male,1,Yes,Yes,70,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Two year,No,Electronic check,74.92,5236.69,No,0,5,5358,,11.45,28.77,413.8,0.233,Central California,2015-04-01
9621-GJBKL,1,United States,California,Anaheim,92805,"33.7711, -117.8994",33.7711,-117.8994,Female,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.04,3333.4,Yes,1,56,4702,Competitor had better devices,30.83,43.73,383.08,0.086,South California,2018-04-01
5072-DVMLW,1,United States,California,San Francisco,94109,"37.8054, -122.4785",37.8054,-122.4785,Male,0,No,No,9,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),75.95,678.73,Yes,1,79,3036,Moved,21.61,32.13,482.12,0.028,North California,2020-05-01
5375-XFWZT,1,United States,California,Long Beach,90802,"33.6632, -118.1414",33.6632,-118.1414,Male,0,No,No,10,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Two year,No,Credit card (automatic),78.19,758.85,No,0,11,4081,,-1.58,39.57,456.15,0.271,South California,2020-04-01
9030-TPTYP,1,United States,California,Long Beach,90802,"33.759, -118.1861",33.759,-118.1861,Female,0,Yes,Yes,8,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Mailed check,69.55,544.39,No,0,17,3700,,7.75,35.46,278.36,0.212,South California,2020-06-01
7182-CYUEH,1,United States,California,Santa Rosa,95401,"38.4973, -122.6466",38.4973,-122.6466,Male,0,Yes,Yes,67,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),46.02,3069.46,No,0,12,4756,,9.55,22.29,275.14,0.059,North California,2015-07-01
3028-IXMKU,1,United States,California,Modesto,95354,"37.64, -120.9784",37.64,-120.9784,Female,1,No,No,10,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),75.89,790.89,No,0,5,3852,,11.05,39.35,267.44,0.189,Central California,2020-04-01
4340-XTGQM,1,United States,California,Oakland,94601,"37.7795, -122.3245",37.7795,-122.3245,Female,0,No,No,15,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.25,268.86,No,0,46,2429,,-4.56,11.72,245.21,0.048,North California,2019-11-01
4096-XKDKN,1,United States,California,San Diego,92101,"32.7602, -117.1382",32.7602,-117.1382,Female,0,No,No,70,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,54.87,3819.63,No,0,8,6206,,15.37,22.99,371.22,0.019,South California,2015-04-01
2136-TFCNE,1,United States,California,Los Angeles,90001,"34.1009, -118.2102",34.1009,-118.2102,Male,0,No,No,6,Yes,No,DSL,No,Yes,No,No,Yes,No,One year,No,Mailed check,54.17,323.88,No,0,19,3807,,6.62,25.09,286.71,0.194,South California,2020-08-01
8035-BKBJY,1,United States,California,San Jose,95112,"37.4037, -121.9137",37.4037,-121.9137,Male,0,No,No,67,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),70.17,4733.45,No,0,32,5735,,26.76,32.56,142.4,0.07,Central California,2015-07-01
6853-NEIJP,1,United States,California,Sacramento,95814,"38.6253, -121.5665",38.6253,-121.5665,Male,0,No,No,4,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,80.29,310.76,No,0,91,4176,,29.44,34.89,207.66,0.091,North California,2020-10-01
2873-ZQICP,1,United States,California,Riverside,92501,"34.0347, -117.3705",34.0347,-117.3705,Male,0,No,No,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),24.26,242.57,No,0,8,3397,,-2.28,14.19,208.97,0.15,South California,2020-04-01
5029-RPQVN,1,United States,California,Fresno,93701,"36.7744, -119.8371",36.7744,-119.8371,Female,0,Yes,No,62,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),50.54,3161.64,Yes,1,6,4470,Long wait times,10.72,26.88,281.41,0.024,Central California,2015-12-01
7520-JYKRZ,1,United States,California,Anaheim,92805,"33.8499, -117.8583",33.8499,-117.8583,Male,0,Yes,Yes,54,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),86.84,4670.73,No,0,9,6431,,19.43,42.17,309.72,0.142,South California,2016-08-01
4142-CGGBO,1,United States,California,Los Angeles,90001,"34.0567, -118.2641",34.0567,-118.2641,Male,1,No,No,56,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,58.31,3283.58,Yes,1,31,4382,Don't know,17.74,27.26,269.18,0.036,South California,2016-06-01
3498-CDHJZ,1,United States,California,San Diego,92101,"32.7038, -117.0749",32.7038,-117.0749,Female,1,Yes,No,12,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,62.47,753.39,No,0,53,3704,,10.92,31.23,343.75,0.096,South California,2020-02-01
7322-SRUIC,1,United States,California,San Diego,92101,"32.6551, -117.2673",32.6551,-117.2673,Male,0,No,Yes,56,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),55.85,3138.92,No,0,24,4760,,16.36,25.85,229.55,0.073,South California,2016-06-01
5576-AFTNR,1,United States,California,Oakland,94601,"37.7566, -122.2645",37.7566,-122.2645,Female,0,No,No,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),18.56,175.34,No,0,5,2848,,-8.62,11.29,257.93,0.277,North California,2020-05-01
5590-OHFGU,1,United States,California,San Jose,95112,"37.3241, -121.8148",37.3241,-121.8148,Female,1,Yes,No,67,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),62.23,4176.41,No,0,5,5394,,11.4,31.54,119.48,0.23,Central California,2015-07-01
9815-CNMOG,1,United States,California,Bakersfield,93301,"35.3854, -119.0632",35.3854,-119.0632,Male,0,Yes,No,44,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No,No,One year,No,Electronic check,78.82,3450.07,No,0,12,5102,,29.44,30.84,244.39,0.106,Central California,2017-06-01
1070-FEBJR,1,United States,California,Bakersfield,93301,"35.4453, -119.0267",35.4453,-119.0267,Female,0,No,No,66,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,71.29,4711.05,No,0,26,5918,,31.44,30.02,198.38,0.022,Central California,2015-08-01
9692-REJHF,1,United States,California,San Francisco,94109,"37.7728, -122.4396",37.7728,-122.4396,Male,0,No,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,22.62,376.96,Yes,1,46,3052,Competitor offered higher download speeds,-3.59,14.33,247.01,0.07,North California,2019-11-01
9910-RMLIK,1,United States,California,Stockton,95202,"38.0079, -121.325",38.0079,-121.325,Male,0,No,No,65,Yes,No,DSL,No,No,No,No,No,Yes,One year,Yes,Electronic check,46.96,3051.56,No,0,9,5463,,18.82,19.64,95.82,0.096,Central California,2015-09-01
6708-YMEYI,1,United States,California,Oakland,94601,"37.8584, -122.259",37.8584,-122.259,Male,0,Yes,No,11,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),55.04,615.68,Yes,1,17,3280,Attitude of support person,10.86,23.65,421.49,0.054,North California,2020-03-01
1748-OUGHH,1,United States,California,San Diego,92101,"32.7041, -117.2259",32.7041,-117.2259,Male,0,No,No,5,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),60.53,305.98,Yes,1,78,2745,Don't know,20.83,24.85,337.45,0.013,South California,2020-09-01
8259-YWFWI,1,United States,California,Los Angeles,90001,"34.0819, -118.2492",34.0819,-118.2492,Male,0,No,No,58,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,26.54,1515.16,No,0,5,4758,,-6.27,15.7,327.16,0.131,South California,2016-04-01
8799-ZSYDR,1,United States,California,Anaheim,92805,"33.8244, -117.8885",33.8244,-117.8885,Male,0,No,No,25,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),74.85,1910.85,Yes,1,75,4090,Don't know,8.79,36.48,551.82,0.088,South California,2019-01-01
1467-QIZMT,1,United States,California,San Diego,92101,"32.7818, -117.1719",32.7818,-117.1719,Female,0,No,No,63,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,19.36,1185.29,No,0,8,4316,,-13.91,14.45,397.34,0.117,South California,2015-11-01
3723-BTFSM,1,United States,California,San Jose,95112,"37.37, -121.9363",37.37,-121.9363,Male,0,No,No,61,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,57.25,3512.93,No,0,6,5518,,17.82,29.39,213.49,0.02,Central California,2016-01-01
9746-JKTUD,1,United States,California,Riverside,92501,"33.9211, -117.324",33.9211,-117.324,Female,0,No,No,5,No,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,53.99,296.06,Yes,1,68,2464,Don't know,8.17,26.21,382.58,0.068,South California,2020-09-01
7670-MZQUI,1,United States,California,Fresno,93701,"36.7459, -119.7506",36.7459,-119.7506,Female,0,No,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,84.8,6033.14,Yes,1,24,5202,Competitor made better offer,19.8,40.17,457.55,0.068,Central California,2015-03-01
3551-UAPZZ,1,United States,California,Santa Rosa,95401,"38.5228, -122.7662",38.5228,-122.7662,Male,0,No,No,39,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Electronic check,76.47,2997.83,No,0,15,5152,,15.85,32.02,328.54,0.195,North California,2017-11-01
7443-MVAUE,1,United States,California,Anaheim,92805,"33.8275, -117.979",33.8275,-117.979,Male,1,No,No,11,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,No,Bank transfer (automatic),79.53,848.37,Yes,1,48,3135,Long wait times,22.63,32.69,380.71,0.105,South California,2020-03-01
7621-JTPYU,1,United States,California,San Jose,95112,"37.3606, -121.9339",37.3606,-121.9339,Male,0,No,Yes,61,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),55.92,3393.66,No,0,14,5174,,29.63,22.42,91.44,0.001,Central California,2016-01-01
9226-DJLAA,1,United States,California,Sacramento,95814,"38.6089, -121.4671",38.6089,-121.4671,Male,0,Yes,Yes,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.55,1345.93,No,0,17,4864,,0.92,11.37,141.42,0.07,North California,2015-08-01
1348-TLTVA,1,United States,California,Bakersfield,93301,"35.3215, -119.0049",35.3215,-119.0049,Male,0,No,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.05,147.28,Yes,1,54,2331,Long wait times,-4.99,13.31,242.96,0.08,Central California,2020-07-01
8627-FKZHY,1,United States,California,San Diego,92101,"32.7412, -117.1216",32.7412,-117.1216,Female,0,No,No,57,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,25.73,1490.21,No,0,5,5089,,-0.44,12.65,187.47,0.222,South California,2016-05-01
5558-AVBQL,1,United States,California,Oakland,94601,"37.7347, -122.2875",37.7347,-122.2875,Male,0,No,Yes,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),50.49,142.42,Yes,1,72,2732,Moved,12.94,19.08,337.89,0.087,North California,2020-12-01
2258-NJCOB,1,United States,California,Fresno,93701,"36.7065, -119.8333",36.7065,-119.8333,Female,0,No,No,65,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.25,5172.61,No,0,44,5803,,34.26,37.08,146.36,0.035,Central California,2015-09-01
5843-FVYYY,1,United States,California,Sacramento,95814,"38.6354, -121.4485",38.6354,-121.4485,Male,0,No,No,58,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Electronic check,50.6,2905.51,No,0,5,5203,,7.81,19.99,352.85,0.16,North California,2016-04-01
1904-NFCKL,1,United States,California,Los Angeles,90001,"34.07, -118.2714",34.07,-118.2714,Female,0,No,No,7,Yes,Yes,DSL,No,No,No,No,No,No,Two year,Yes,Mailed check,52.39,391.79,No,0,20,3257,,5.27,28.58,150.82,0.234,South California,2020-07-01
3667-CKEBL,1,United States,California,Bakersfield,93301,"35.3581, -119.0094",35.3581,-119.0094,Female,0,Yes,No,60,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,65.19,3860.43,No,0,62,5840,,18.91,26.39,358.49,0.076,Central California,2016-02-01
1594-ZVYCM,1,United States,California,Santa Rosa,95401,"38.4627, -122.7916",38.4627,-122.7916,Male,0,No,No,68,Yes,No,DSL,No,No,No,No,Yes,No,One year,Yes,Electronic check,51.46,3506.43,No,0,7,5524,,10.64,20.43,352.27,0.111,North California,2015-06-01
8415-OHVIZ,1,United States,California,Berkeley,94704,"37.8685, -122.3015",37.8685,-122.3015,Male,0,Yes,No,67,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,One year,Yes,Electronic check,70.17,4718.38,No,0,5,5137,,14.23,35.77,229.77,0.151,North California,2015-07-01
1906-SAXJA,1,United States,California,Stockton,95202,"37.9583, -121.2403",37.9583,-121.2403,Male,0,No,No,60,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Mailed check,78.67,4694.83,Yes,1,5,4375,Don't know,15.25,41.83,384.21,0.071,Central California,2016-02-01
8517-ZXMBF,1,United States,California,Los Angeles,90001,"34.085, -118.2795",34.085,-118.2795,Female,0,No,No,14,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,72.33,1007.19,Yes,1,47,3631,Price too high,8.25,38.42,515.08,0.058,South California,2019-12-01
1278-BEOTP,1,United States,California,Riverside,92501,"33.9442, -117.3348",33.9442,-117.3348,Female,0,Yes,No,63,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),73.88,4653.77,No,0,24,5676,,27.29,32.7,289.12,0.025,South California,2015-11-01
2843-PGLXD,1,United States,California,Fresno,93701,"36.7398, -119.9037",36.7398,-119.9037,Female,0,No,No,65,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,One year,Yes,Mailed check,68.05,4422.41,No,0,5,5163,,24.29,24.35,304.15,0.099,Central California,2015-09-01
8873-HRGEL,1,United States,California,Oakland,94601,"37.7888, -122.2992",37.7888,-122.2992,Female,0,No,No,56,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,24.94,1391.58,Yes,1,29,3506,Product dissatisfaction,-6.73,14.62,366.77,0.071,North California,2016-06-01
4429-NGZRV,1,United States,California,Long Beach,90802,"33.6908, -118.2023",33.6908,-118.2023,Female,0,No,Yes,67,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,87.39,5840.2,No,0,54,6157,,38.82,30.27,416.08,0.011,South California,2015-07-01
8018-SDPXC,1,United States,California,Modesto,95354,"37.5931, -120.9098",37.5931,-120.9098,Female,1,Yes,No,6,Yes,Yes,DSL,Yes,No,No,No,No,No,Two year,No,Credit card (automatic),53.66,334.19,No,0,5,3666,,8.86,26.15,150.17,0.231,Central California,2020-08-01
5164-EUYBU,1,United States,California,Los Angeles,90001,"34.1306, -118.3022",34.1306,-118.3022,Female,0,Yes,Yes,65,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),82.46,5377.05,No,0,39,6416,,36.08,35.06,162.84,0.055,South California,2015-09-01
4244-ZAESU,1,United States,California,Sacramento,95814,"38.6008, -121.4609",38.6008,-121.4609,Male,0,No,No,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,22.97,143.63,Yes,1,57,2212,Moved,-2.55,12.35,281.32,0.063,North California,2020-08-01
