CustomerID,Region,Segment,RFM_Segment,Contract,Tenure Months,Monthly Charges,MonthlyProfit,CLV,Churn Value,ChurnProbability
3993-BCZUA,Central California,Gold,Need Attention,Month-to-month,6,54.31,12.58,92.09,1,0.6776144544848458
4139-GZLGQ,South California,Standard,Champions,Month-to-month,67,20.36,-5.8,0.0,0,0.083879251106855
5274-EHDSZ,Central California,Platinum,Champions,One year,59,87.78,32.68,704.32,0,0.1441630501518086
8274-JMBJA,Central California,Gold,Need Attention,Two year,2,59.94,3.84,129.12,0,0.0813502760684203
7702-XERPK,South California,Silver,Champions,Two year,67,52.07,10.37,362.12,0,0.010095114850035
7601-RHURI,Central California,Silver,Champions,Month-to-month,63,53.05,22.61,258.3,1,0.148579524005288
7616-QDEIB,North California,Standard,Loyal,One year,60,18.25,-9.49,0.0,0,0.0321363686942481
4656-MUEOR,South California,Silver,Champions,Two year,68,75.4,11.24,382.79,0,0.0384632006103288
5045-XIKAK,Central California,Standard,Loyal,Month-to-month,50,25.04,-0.66,0.0,0,0.1490734731628462
1181-ZGVDH,Central California,Silver,Champions,One year,58,62.14,16.58,385.98,0,0.0243496952842657
2076-JPKPU,Central California,Standard,Loyal,Two year,63,22.7,-2.19,0.0,0,0.0087472174269136
1402-LPNDF,Central California,Silver,Loyal,Month-to-month,47,60.52,13.44,142.89,0,0.2118557752508328
4394-QZJNH,North California,Silver,Loyal,Month-to-month,44,63.6,23.54,218.07,1,0.445446086183862
1307-KJDRG,Central California,Gold,Need Attention,Month-to-month,8,82.93,29.48,149.99,1,0.8743835749365231
3021-KZQLV,South California,Gold,Need Attention,Month-to-month,7,61.81,25.16,211.34,0,0.6827210570395598
1189-IOMRS,North California,Gold,Need Attention,Two year,14,71.04,9.17,300.41,0,0.1871683244323017
5103-YYMXQ,Central California,Standard,Loyal,Month-to-month,49,21.66,-4.91,0.0,1,0.2331121444397046
2250-DCFIB,North California,Platinum,Champions,Month-to-month,66,93.61,38.71,372.55,1,0.3408803551084838
6472-KPNHP,Central California,Platinum,Champions,Month-to-month,68,98.35,45.6,507.8,1,0.2537611595523888
9558-IHNUN,Central California,Silver,Champions,Month-to-month,64,83.29,28.33,268.57,0,0.4786493205329015
8486-BCKGA,South California,Silver,Champions,Month-to-month,56,78.98,34.85,368.02,0,0.2873388177495517
2936-HXUJY,North California,Silver,Champions,Month-to-month,68,49.97,11.99,126.61,0,0.2502151130260518
8527-GMXLJ,North California,Gold,Need Attention,One year,6,68.11,23.2,466.6,0,0.5062195741891429
9129-RLWTJ,Central California,Silver,Champions,Month-to-month,65,86.41,21.59,223.33,0,0.2138807047274338
4818-BCYBV,South California,Silver,Champions,Month-to-month,59,55.04,16.46,131.15,0,0.3749780008157314
2873-OSZJY,South California,Bronze,Need Attention,Two year,4,67.61,-2.45,0.0,0,0.1793182856411787
5086-WCGQS,North California,Platinum,Champions,One year,67,80.9,32.45,708.71,0,0.1174797758332823
8230-JQQZD,North California,Gold,Need Attention,Month-to-month,10,73.68,23.23,138.26,1,0.8747313554550449
1147-OAFNG,South California,Silver,Champions,Month-to-month,71,65.96,22.78,232.36,1,0.1966114845930473
3397-JRJUE,North California,Standard,Loyal,Month-to-month,61,19.29,-5.36,0.0,0,0.168314644955125
1921-EXHAI,South California,Silver,Champions,Month-to-month,58,58.39,16.03,163.51,0,0.1706851344703841
7194-JJCRF,North California,Standard,Loyal,Two year,58,25.88,-5.67,0.0,0,0.0185956939834799
1878-SYPYK,South California,Silver,Loyal,Month-to-month,32,87.49,22.69,192.23,1,0.4198590773710143
5674-JNXQA,North California,Silver,Loyal,Month-to-month,45,73.94,12.78,103.67,0,0.6146415338672455
6220-JOOPW,Central California,Gold,Need Attention,Two year,3,55.65,10.68,333.73,0,0.2049499088859531
8726-ZPHFW,Central California,Silver,Loyal,One year,51,73.56,17.21,388.26,0,0.0721196091374581
9224-AFREB,North California,Bronze,Need Attention,Month-to-month,18,54.1,5.01,37.76,0,0.5770473363029907
9972-CFZCU,Central California,Standard,Loyal,One year,59,20.92,-0.67,0.0,0,0.0252186158659613
6057-OVABF,Central California,Gold,Need Attention,Two year,7,74.79,15.16,526.11,0,0.1408577452749361
5410-ZBKLF,South California,Silver,Champions,One year,68,77.73,14.45,298.94,0,0.0821783274493837
4095-FDNYK,South California,Gold,Need Attention,Month-to-month,2,82.04,19.67,131.24,1,0.8325084065119961
6713-RVVXV,Central California,Bronze,Need Attention,Month-to-month,7,18.25,-7.41,0.0,1,0.5499509221764882
9370-ZTMHO,Central California,Gold,Loyal,Month-to-month,31,75.11,28.03,174.91,1,0.8484772943157403
8459-TNBHP,Central California,Bronze,Need Attention,Month-to-month,9,25.3,0.13,1.26,0,0.5206841442760354
4471-LHBML,Central California,Silver,Champions,Month-to-month,67,54.18,9.93,93.42,1,0.3132071229934575
8031-CMWGI,South California,Silver,Champions,Month-to-month,65,71.52,23.12,225.84,1,0.3856408960453334
1786-OWMKT,North California,Gold,Need Attention,One year,3,58.72,21.56,501.92,0,0.1642852324799207
4976-KTHWG,North California,Bronze,Need Attention,Month-to-month,7,18.67,-10.42,0.0,0,0.5103847508185532
5599-GQLGT,Central California,Silver,Champions,Month-to-month,56,77.72,20.79,174.64,0,0.5308195210620869
9414-AOSSF,North California,Silver,Champions,Month-to-month,57,74.1,32.16,279.41,0,0.381608643988319
2027-NQHJN,North California,Standard,Champions,Month-to-month,65,25.82,-5.78,0.0,0,0.1156094918237114
5050-MRZUA,North California,Standard,Loyal,Two year,60,20.49,-1.46,0.0,0,0.0168754586357449
4143-AWQFV,South California,Silver,Champions,One year,58,57.41,5.01,116.63,0,0.0245453760286594
6065-BDVHN,South California,Platinum,Loyal,Two year,32,60.33,15.45,539.51,0,0.0464233083016726
9057-HACXP,South California,Platinum,Champions,Two year,69,91.79,27.7,967.28,0,0.0394821421457223
3955-CSBCP,Central California,Standard,Champions,Two year,69,28.17,0.49,16.37,0,0.0083758945009818
6770-OXGOH,South California,Platinum,Champions,Two year,57,72.36,23.2,810.14,0,0.00719217353107
4258-DUSSD,North California,Platinum,Champions,One year,49,88.68,37.54,825.28,1,0.1012609354125701
2059-URARZ,South California,Silver,Champions,Month-to-month,60,60.71,13.17,149.51,0,0.1907536093239124
7766-HITKT,Central California,Bronze,Need Attention,Month-to-month,15,24.56,-1.98,0.0,0,0.5262007939052588
9639-KOMNB,South California,Standard,Loyal,Month-to-month,53,24.86,-6.32,0.0,0,0.1866659711056357
9880-OFOKV,North California,Silver,Champions,Month-to-month,54,94.41,29.48,224.28,1,0.6155345354793402
7838-JSAZN,Central California,Silver,Champions,Month-to-month,61,75.13,19.09,209.84,1,0.0811626669293399
6888-QIRKR,South California,Silver,Champions,Month-to-month,70,73.58,33.1,335.24,0,0.1627100204317474
1807-DYTDF,Central California,Platinum,Champions,One year,61,94.65,31.91,646.37,1,0.173964867541608
5910-AKIDH,Central California,Gold,Need Attention,Two year,1,69.86,19.65,563.09,1,0.4098527167176077
3636-BQHAA,North California,Gold,Need Attention,One year,1,73.96,22.25,482.74,0,0.1572207376625603
9692-DXECO,Central California,Bronze,Loyal,One year,30,21.67,-5.23,0.0,0,0.1834161059141831
8814-BITBE,North California,Gold,Need Attention,Month-to-month,7,82.05,29.44,185.83,0,0.8160270985066944
3754-UVSRA,North California,Gold,Need Attention,One year,8,86.26,28.9,564.59,1,0.4833208958925023
3146-XSGSS,South California,Silver,Champions,Month-to-month,64,56.83,23.99,272.33,1,0.1427636625611819
7685-ZOBVA,Central California,Silver,Champions,Month-to-month,60,84.51,19.7,208.03,0,0.2712105002714848
6771-UDUVR,Central California,Bronze,Need Attention,Month-to-month,1,26.72,4.36,38.51,1,0.5844878430701752
3913-FSERE,Central California,Standard,Loyal,Month-to-month,61,22.22,4.0,42.53,0,0.1739319724556439
4022-NEUSA,South California,Standard,Loyal,Month-to-month,56,18.63,-1.43,0.0,1,0.2707495719964218
8640-SVPQJ,North California,Bronze,Need Attention,One year,6,50.52,3.14,68.58,0,0.2065654809861186
3046-GIHTN,Central California,Platinum,Need Attention,One year,17,61.49,30.03,699.1,0,0.1548925772455002
4697-STYIG,North California,Bronze,Loyal,Month-to-month,30,20.67,-11.11,0.0,0,0.3145531041722537
1056-EPVPZ,Central California,Gold,Need Attention,Month-to-month,2,58.87,16.64,138.58,1,0.5542887214724784
6647-WGIVR,South California,Gold,Need Attention,Month-to-month,8,74.52,39.61,247.17,1,0.7699572601042672
5386-YTHPK,Central California,Gold,Need Attention,Month-to-month,13,86.22,26.68,218.35,0,0.7162580397553879
4744-URAOQ,South California,Standard,Champions,Month-to-month,71,18.25,-8.41,0.0,0,0.1341614235297956
5595-HQYCP,Central California,Standard,Champions,Month-to-month,68,25.15,-5.02,0.0,1,0.1583540372455067
9191-KIGFK,South California,Silver,Champions,Month-to-month,64,55.13,20.89,241.66,1,0.1772346054955415
7945-EGZZF,Central California,Gold,Loyal,One year,16,77.15,28.6,554.61,0,0.2982622917664106
4784-KHDBP,North California,Gold,Loyal,Month-to-month,26,59.72,20.59,171.47,0,0.6597578560126678
1376-QCEAK,South California,Gold,Need Attention,Month-to-month,8,87.23,24.54,146.06,1,0.8766988145076102
3943-IIYLV,South California,Gold,Need Attention,Month-to-month,8,83.75,20.22,169.85,0,0.5131207196310106
3096-MBGBA,North California,Platinum,Champions,Month-to-month,54,85.31,40.86,375.59,0,0.3416876985493914
2639-EITDP,South California,Bronze,Need Attention,Two year,14,20.95,-6.39,0.0,0,0.0433757259106423
4285-KXMGG,North California,Bronze,Need Attention,Two year,14,20.6,-2.47,0.0,1,0.0955529178605321
2515-URGMN,South California,Silver,Champions,One year,64,72.43,17.65,410.89,0,0.0924273140403586
1425-XUNSC,South California,Platinum,Champions,Two year,66,84.64,23.8,831.1,0,0.0273740994320302
9794-QYWPH,Central California,Silver,Loyal,Two year,50,60.55,8.11,283.2,0,0.0113791231104249
7173-NKSXE,South California,Silver,Champions,Month-to-month,68,70.29,12.01,110.4,0,0.282952534857255
5974-UIIAI,North California,Bronze,Need Attention,Month-to-month,21,21.5,0.89,9.01,0,0.3737644823422953
6277-ZNHVE,North California,Silver,Champions,Month-to-month,55,78.73,14.43,160.69,1,0.2102008350819081
2682-NVFAS,North California,Platinum,Need Attention,Two year,2,76.14,25.3,883.48,0,0.173011845758075
6285-RKDIM,Central California,Standard,Champions,Month-to-month,65,19.74,0.06,0.7,1,0.1587472977365505
4899-XFIEO,South California,Gold,Need Attention,Month-to-month,5,53.69,17.17,141.76,1,0.639468263672163
8245-WFLTB,North California,Gold,Need Attention,Two year,11,69.48,22.0,692.21,1,0.2399712667361465
7401-DACWR,Central California,Silver,Loyal,Two year,41,57.63,9.72,331.02,0,0.0415095861971957
8103-RUMVB,South California,Silver,Champions,Month-to-month,64,59.91,25.55,282.69,0,0.1846724831396751
6242-TZJES,North California,Bronze,Loyal,Month-to-month,32,26.7,-1.54,0.0,0,0.3255552418815028
1650-USRHD,South California,Silver,Champions,Month-to-month,60,93.95,34.04,258.98,1,0.5255260296084636
6473-JKEIV,North California,Standard,Loyal,One year,56,22.51,-4.56,0.0,0,0.0454164353783796
9038-JDAEA,South California,Gold,Need Attention,One year,16,61.07,18.0,382.75,0,0.1472786582304877
7009-QUIVE,Central California,Silver,Loyal,Month-to-month,47,69.81,15.34,116.71,0,0.605512795474283
3080-XWPPS,Central California,Silver,Champions,Month-to-month,56,84.42,24.3,202.37,1,0.4541553858241098
8408-GBEJG,North California,Gold,Need Attention,Month-to-month,20,48.98,25.66,189.68,0,0.5512133264471486
5723-DPSCH,Central California,Bronze,Need Attention,Month-to-month,14,23.66,6.62,56.08,0,0.4989354841283627
5847-BRTJA,South California,Silver,Loyal,Month-to-month,45,61.15,16.31,154.62,0,0.3899778563736681
5506-WHWWH,North California,Bronze,Need Attention,One year,5,20.45,-3.7,0.0,0,0.1939992729206905
6392-BOWYF,South California,Silver,Champions,Month-to-month,67,55.87,12.69,138.57,0,0.0734083836440367
6983-BHVQK,Central California,Standard,Loyal,Month-to-month,55,18.4,-1.34,0.0,0,0.3136389715869835
9653-TACQW,South California,Silver,Champions,Month-to-month,63,64.13,26.49,308.34,0,0.1035995648678301
2411-NVWQZ,Central California,Silver,Champions,Month-to-month,58,67.27,24.34,276.31,0,0.1624228870829819
9431-VRZAC,Central California,Platinum,Champions,Month-to-month,58,88.23,39.95,352.84,1,0.352757199140903
5592-RXRGX,North California,Silver,Champions,One year,63,58.97,11.7,272.38,0,0.0261775218856599
1745-CSZND,Central California,Gold,Need Attention,Month-to-month,13,57.59,15.15,103.26,1,0.7331067941450006
1428-ZHQIF,North California,Gold,Need Attention,Month-to-month,9,80.57,31.78,223.48,1,0.855538380778636
7010-TMNMP,Central California,Gold,Need Attention,Month-to-month,13,52.55,12.67,121.94,0,0.3650499023400995
8258-SHGRQ,North California,Bronze,Need Attention,Month-to-month,7,21.59,-11.75,0.0,0,0.680048570642619
4307-VKIOF,Central California,Silver,Champions,Month-to-month,70,65.81,22.4,246.22,1,0.1156284440758199
7260-XYLGM,Central California,Gold,Loyal,Month-to-month,16,83.29,27.12,178.99,1,0.8822997218704002
1933-RLDOS,North California,Standard,Loyal,Month-to-month,63,19.51,0.71,6.99,0,0.2717460476645763
3051-KXSUL,South California,Gold,Loyal,Month-to-month,18,81.62,11.36,84.79,1,0.7175802370305159
5442-MLDBV,Central California,Standard,Loyal,Month-to-month,40,20.98,-2.73,0.0,0,0.1896337610262938
5831-NPKXM,South California,Gold,Need Attention,Two year,10,72.06,13.64,440.95,1,0.1492278452715353
5509-NEEEG,North California,Gold,Loyal,One year,32,55.31,22.37,520.77,0,0.0658901831255464
2438-FYJUK,North California,Gold,Need Attention,Month-to-month,10,87.57,18.69,124.7,1,0.6557639798621868
8422-TVHCI,Central California,Gold,Need Attention,One year,9,87.75,21.73,355.68,1,0.7201610929852142
7318-RSZFL,North California,Gold,Need Attention,Two year,4,74.64,23.15,718.39,0,0.2848199583519359
5415-DRBXC,North California,Silver,Champions,One year,66,56.58,15.23,354.55,0,0.0185995537112604
1993-EXWXV,Central California,Gold,Need Attention,Month-to-month,10,68.04,20.13,193.73,0,0.5211883248064847
9311-MALFG,North California,Silver,Champions,Month-to-month,58,75.33,17.38,139.74,0,0.4215983218319971
7220-EIKBS,South California,Silver,Champions,Month-to-month,68,76.39,14.74,163.08,0,0.186112873467665
7865-OAULG,North California,Standard,Loyal,One year,60,18.25,-7.38,0.0,0,0.0517024431114229
9527-WLLXE,North California,Silver,Champions,One year,69,78.82,18.32,408.02,0,0.0495328260190229
4680-OJICG,Central California,Gold,Need Attention,Month-to-month,10,85.16,22.51,179.36,1,0.6809694112303882
4222-VIEWJ,South California,Silver,Champions,Month-to-month,65,99.04,34.64,323.4,0,0.287546140122338
9278-CAXCA,North California,Silver,Champions,Month-to-month,54,82.79,17.4,154.93,0,0.3941992671339998
6788-IMKHM,North California,Gold,Need Attention,One year,15,70.06,18.06,415.24,0,0.1642727400795777
3338-FFDNO,South California,Silver,Champions,Two year,64,64.14,4.06,140.9,0,0.0546451564520647
1157-LTAHY,South California,Silver,Loyal,Month-to-month,53,69.5,21.93,187.37,1,0.464070359946967
